NODE_ID,NODE_NAME,parent,SENTIMENT_SCORE,TOTAL_DOCUMENTS,DETRACTOR_DOCUMENTS,DETRACTOR_SENTIMENT,PROMOTER_DOCUMENTS,PROMOTER_SENTIMENT,NEUTRAL_DOCUMENTS,NEUTRAL_SENTIMENT
118518,Poultry,118505,-0.590653635,7543,2033,-0.75864745,3213,-0.477115497,2297,-0.595039047
118523,Seafood,118505,-0.520223341,10876,1912,-0.794315053,5751,-0.38879509,3213,-0.584964789
118560,Hard Lines,75911,-0.634737406,53403,13706,-0.856749194,24214,-0.461137851,15483,-0.693539931
118563,Automotive,118560,-0.72351632,7324,2645,-0.911600306,2962,-0.478940428,1717,-0.813435725
118566,Auto Service,118563,-0.748271594,2703,1099,-0.971974005,1034,-0.48443287,570,-0.763754045
118574,"Battery, Engine, Transmission",118563,-0.684574468,455,171,-0.908519553,191,-0.375,93,-0.895833333
118583,Lights,118563,-0.893564356,100,31,-0.9296875,47,-0.813829787,22,-1.011363636
118589,Miscellaneous Automotive Parts,118563,-0.594068878,368,102,-0.649336283,149,-0.314102564,117,-0.898373984
118594,Oil & Fluids,118563,-0.698955998,1720,525,-0.912612613,732,-0.504099732,463,-0.754927386
118600,Tires,118563,-0.738393096,3146,1217,-0.916693393,1247,-0.477909483,682,-0.84605598
118606,Gasoline,118560,-0.531938326,2832,626,-0.865576923,1504,-0.38984127,702,-0.54149449
118609,Gasoline,118606,-0.531938326,2832,626,-0.865576923,1504,-0.38984127,702,-0.54149449
118615,Hardware,118560,-0.85554951,2562,667,-0.946938776,1071,-0.764397906,824,-0.898116438
118618,Bathroom Materials,118615,-1.189655172,29,5,-0.6,16,-1.140625,8,-1.65625
118625,Hand Tools,118615,-0.899229075,220,57,-1.031779661,89,-0.725543478,74,-1.006578947
118631,Lighting & Fans,118615,-0.860612624,1462,419,-0.959895833,572,-0.758957006,471,-0.892470472
118636,Utilities,118615,-0.827600671,863,187,-0.897251309,401,-0.773137019,275,-0.860191638
118642,Paint & Accessories,118560,-0.728943595,4682,1344,-0.906328223,2013,-0.576459391,1325,-0.761006826
118645,Paint & Primer,118642,-0.725507446,4407,1234,-0.900867937,1932,-0.57127724,1241,-0.770010965
118651,Spray Paint,118642,-0.772916667,261,101,-0.912860577,76,-0.737654321,84,-0.635294118
118657,Supplies,118642,-0.752640845,130,52,-0.890909091,40,-0.707446809,38,-0.615625
118662,Piece Goods & Crafts,118560,-0.504691031,8922,2083,-0.781453583,4196,-0.345061143,2643,-0.530662752
118665,Crafting,118662,-0.39507406,4814,979,-0.62089372,2354,-0.275318979,1481,-0.437027708
118670,Fabric,118662,-0.604925242,4865,1264,-0.901085548,2205,-0.41858294,1396,-0.615613267
118676,Sewing,118662,-1.564655172,29,6,-1,11,-1.409090909,12,-1.989583333
118681,Sporting Goods,118560,-0.622478731,25588,5899,-0.834332255,11939,-0.461824141,7750,-0.696493545
118684,Bikes & Riding Toys,118681,-0.602068573,1703,499,-0.785775128,749,-0.422096108,455,-0.684842884
118689,Camping,118681,-0.049647887,1708,300,-0.344907407,911,0.029952077,497,-0.008789063
118695,Exercise & Fitness,118681,-0.174043062,207,29,-0.670833333,123,0.175403226,55,-0.690909091
118700,Fishing & Marine,118681,-0.108955765,2646,549,-0.452772964,1343,0.093772369,754,-0.217155612
118705,Game Room,118681,-0.589285714,118,30,-0.7890625,55,-0.605932203,33,-0.378571429
118713,Golf,118681,-0.204576503,356,55,-0.203947368,213,-0.228587963,88,-0.149193548
118718,Hunting,118681,-0.784169431,9971,2310,-0.884695817,4458,-0.66184377,3203,-0.874892272
118724,Outdoors & Recreation,118681,-1.098684211,71,18,-1,38,-1.147435897,15,-1.116666667
118729,Sports,118681,-0.616433443,12935,3011,-0.899364407,6036,-0.433817018,3888,-0.674347015
118735,Sports Fan Shop,118681,-0.607142857,165,27,-0.75,82,-0.550595238,56,-0.622807018
118741,Tennis & Racquet,118681,-0.609496124,119,19,-0.840909091,71,-0.448333333,29,-0.828125
118746,Stationary,118560,-0.711634995,2641,781,-0.874702381,1015,-0.532577904,845,-0.770786517
118749,Calendars,118746,-0.749609375,299,85,-0.849462366,111,-0.599358974,103,-0.825
118754,Office Supplies,118746,-0.76941896,1564,477,-0.925990099,591,-0.596451876,496,-0.821566731
118760,Paper,118746,-0.581599287,789,223,-0.769979508,317,-0.381777108,249,-0.658490566
118765,Health & Wellness,75911,-0.376796092,62262,12849,-0.966155505,34758,0.035978117,14655,-0.786785905
